CustomerID,TotalSpend,PurchaseFrequency,PreferredProduct,IsVIP
1,4728.71,0.5,Smartphones,1
2,12150.42,0.89,Smartphones,0
3,5014.66,0.47,Smartphones,0
4,13439.71,0.88,Smartphones,1
5,12142.03,1.05,Smartphones,1
6,479.73,1.0,Smartphones,0
7,16276.72,1.0,Smartphones,1
8,6782.02,0.59,Smartphones,0
9,11542.57,0.75,Laptops,0
10,15013.34,0.85,Smartphones,1
11,4145.46,0.5,Laptops,1
12,12950.26,1.0,Smartphones,1
13,15446.56,0.95,Smartphones,1
14,8686.36,0.83,Smartphones,1
15,11140.66,0.83,Smartphones,1
16,11636.35,0.59,Laptops,1
17,3033.86,0.6,Laptops,1
18,10817.32,0.56,Laptops,0
19,6884.66,0.47,Headphones,1
20,6070.96,0.72,Headphones,1
21,12249.38,0.95,Smartphones,1
22,7827.11,0.44,Laptops,1
23,13442.71,0.7,Smartphones,1
24,7374.67,0.89,Smartphones,1
25,2565.16,0.22,Smartphones,0
26,10856.08,0.67,Laptops,1
27,3984.55,0.41,Smartphones,0
28,16994.31,1.0,Laptops,1
29,10769.14,0.88,Smartphones,1
30,11396.93,0.94,Smartphones,1
31,4432.83,0.64,Headphones,1
32,5631.14,0.32,Smartphones,1
33,4042.23,0.41,Smartphones,1
34,4228.19,0.29,Smartphones,1
35,2321.04,0.21,Smartphones,0
36,3324.55,0.14,Smartphones,1
37,1425.97,1.0,Smartphones,1
38,9528.81,0.75,Headphones,1
39,3537.16,0.46,Smartphones,1
40,6726.18,0.45,Smartphones,1
41,1212.33,0.5,Smartphones,0
42,4595.06,0.33,Smartphones,0
43,16849.18,0.75,Smartphones,1
44,6023.92,0.62,Headphones,1
45,6595.71,0.32,Smartphones,0
46,3534.83,0.17,Laptops,1
47,7205.82,0.65,Smartphones,1
48,4175.01,0.33,Smartphones,1
49,11171.95,1.06,Smartphones,1
50,11485.63,0.65,Laptops,0
51,2037.08,0.22,Smartphones,0
52,5094.89,0.53,Headphones,0
53,5542.75,0.47,Smartphones,1
54,11062.66,0.65,Smartphones,1
55,1988.95,0.21,Smartphones,0
56,4982.39,0.5,Smartphones,0
57,9653.01,0.79,Smartphones,1
58,10154.16,0.58,Smartphones,1
59,5036.46,0.42,Smartphones,1
60,5566.47,0.53,Smartphones,1
61,11569.83,1.0,Headphones,1
62,1309.45,0.25,Smartphones,1
63,10779.37,0.89,Smartphones,1
64,10189.62,0.55,Smartphones,1
65,2154.12,0.25,Headphones,0
66,10205.42,0.86,Smartphones,1
67,7048.52,0.67,Smartphones,1
68,10447.05,0.75,Smartphones,1
69,7891.42,0.56,Smartphones,1
70,671.62,0.2,Smartphones,0
71,2627.17,0.16,Headphones,0
72,12170.0,0.75,Smartphones,1
73,9567.7,0.89,Smartphones,0
74,2672.25,0.18,Smartphones,0
75,14761.56,1.0,Smartphones,1
76,9615.15,0.6,Smartphones,0
77,9102.07,0.89,Smartphones,1
78,8385.72,0.67,Smartphones,1
79,16160.48,1.0,Laptops,1
80,7530.16,0.78,Smartphones,1
81,2982.92,0.56,Laptops,0
82,12755.51,0.72,Smartphones,1
83,12826.84,0.74,Tablets,1
84,5347.78,0.59,Smartphones,1
85,214.3,1.0,Headphones,0
86,4906.36,0.5,Smartphones,1
87,3909.87,0.35,Smartphones,1
88,560.14,1.0,Smartphones,1
89,8730.41,0.58,Smartphones,1
90,10579.34,0.65,Smartphones,1
91,10239.66,0.89,Smartphones,1
92,5970.39,0.39,Laptops,1
93,1020.86,1.0,Smartphones,0
94,4726.1,0.24,Smartphones,1
95,14083.03,1.0,Smartphones,1
96,5549.77,0.5,Smartphones,1
97,6080.2,0.44,Smartphones,1
98,6474.05,0.74,Headphones,0
99,2139.8,1.0,Laptops,0
100,973.74,0.22,Headphones,0
101,15766.53,1.0,Smartphones,1
102,1681.53,0.37,Headphones,0
103,15080.49,0.95,Smartphones,1
104,6285.06,0.72,Headphones,1
105,4056.35,0.35,Headphones,1
106,1258.22,1.0,Laptops,0
107,8707.78,0.56,Laptops,1
108,5514.56,0.47,Headphones,1
109,12540.39,0.89,Smartphones,1
