Date,Product,Sales
2005-01,Smartphones,497
2005-01,Laptops,315
2005-01,Headphones,400
2005-01,Tablets,103
2005-01,Smartwatches,8
2005-02,Smartphones,463
2005-02,Laptops,299
2005-02,Headphones,397
2005-02,Tablets,99
2005-02,Smartwatches,9
2005-03,Smartphones,505
2005-03,Laptops,273
2005-03,Headphones,406
2005-03,Tablets,104
2005-03,Smartwatches,10
2005-04,Smartphones,469
2005-04,Laptops,290
2005-04,Headphones,393
2005-04,Tablets,92
2005-04,Smartwatches,10
2005-05,Smartphones,520
2005-05,Laptops,263
2005-05,Headphones,396
2005-05,Tablets,100
2005-05,Smartwatches,10
2005-06,Smartphones,532
2005-06,Laptops,324
2005-06,Headphones,378
2005-06,Tablets,95
2005-06,Smartwatches,9
2005-07,Smartphones,479
2005-07,Laptops,313
2005-07,Headphones,399
2005-07,Tablets,100
2005-07,Smartwatches,9
2005-08,Smartphones,565
2005-08,Laptops,373
2005-08,Headphones,425
2005-08,Tablets,106
2005-08,Smartwatches,9
2005-09,Smartphones,504
2005-09,Laptops,378
2005-09,Headphones,396
2005-09,Tablets,107
2005-09,Smartwatches,10
2005-10,Smartphones,415
2005-10,Laptops,310
2005-10,Headphones,412
2005-10,Tablets,98
2005-10,Smartwatches,9
2005-11,Smartphones,582
2005-11,Laptops,341
2005-11,Headphones,509
2005-11,Tablets,115
2005-11,Smartwatches,10
2005-12,Smartphones,614
2005-12,Laptops,355
2005-12,Headphones,480
2005-12,Tablets,110
2005-12,Smartwatches,12
2006-01,Smartphones,473
2006-01,Laptops,292
2006-01,Headphones,415
2006-01,Tablets,116
2006-01,Smartwatches,9
2006-02,Smartphones,544
2006-02,Laptops,304
2006-02,Headphones,421
2006-02,Tablets,105
2006-02,Smartwatches,9
2006-03,Smartphones,510
2006-03,Laptops,322
2006-03,Headphones,447
2006-03,Tablets,110
2006-03,Smartwatches,9
2006-04,Smartphones,524
2006-04,Laptops,316
2006-04,Headphones,422
2006-04,Tablets,91
2006-04,Smartwatches,9
2006-05,Smartphones,561
2006-05,Laptops,295
2006-05,Headphones,379
2006-05,Tablets,95
2006-05,Smartwatches,9
2006-06,Smartphones,521
2006-06,Laptops,292
2006-06,Headphones,425
2006-06,Tablets,93
2006-06,Smartwatches,9
2006-07,Smartphones,530
2006-07,Laptops,271
2006-07,Headphones,380
2006-07,Tablets,110
2006-07,Smartwatches,9
2006-08,Smartphones,475
2006-08,Laptops,345
2006-08,Headphones,407
2006-08,Tablets,115
2006-08,Smartwatches,9
2006-09,Smartphones,536
2006-09,Laptops,335
2006-09,Headphones,415
2006-09,Tablets,95
2006-09,Smartwatches,9
2006-10,Smartphones,473
2006-10,Laptops,308
2006-10,Headphones,403
2006-10,Tablets,104
2006-10,Smartwatches,10
2006-11,Smartphones,578
2006-11,Laptops,339
2006-11,Headphones,499
2006-11,Tablets,114
2006-11,Smartwatches,13
2006-12,Smartphones,654
2006-12,Laptops,344
2006-12,Headphones,489
2006-12,Tablets,96
2006-12,Smartwatches,11
2007-01,Smartphones,545
2007-01,Laptops,295
2007-01,Headphones,432
2007-01,Tablets,91
2007-01,Smartwatches,9
2007-02,Smartphones,522
2007-02,Laptops,282
2007-02,Headphones,418
2007-02,Tablets,101
2007-02,Smartwatches,10
2007-03,Smartphones,507
2007-03,Laptops,322
2007-03,Headphones,410
2007-03,Tablets,105
2007-03,Smartwatches,9
2007-04,Smartphones,542
2007-04,Laptops,320
2007-04,Headphones,410
2007-04,Tablets,104
2007-04,Smartwatches,10
2007-05,Smartphones,529
2007-05,Laptops,306
2007-05,Headphones,446
2007-05,Tablets,111
2007-05,Smartwatches,10
2007-06,Smartphones,505
2007-06,Laptops,297
2007-06,Headphones,410
2007-06,Tablets,102
2007-06,Smartwatches,10
2007-07,Smartphones,507
2007-07,Laptops,307
2007-07,Headphones,413
2007-07,Tablets,91
2007-07,Smartwatches,8
2007-08,Smartphones,516
2007-08,Laptops,353
2007-08,Headphones,453
2007-08,Tablets,138
2007-08,Smartwatches,9
2007-09,Smartphones,570
2007-09,Laptops,343
2007-09,Headphones,420
2007-09,Tablets,105
2007-09,Smartwatches,9
2007-10,Smartphones,568
2007-10,Laptops,291
2007-10,Headphones,401
2007-10,Tablets,109
2007-10,Smartwatches,9
2007-11,Smartphones,658
2007-11,Laptops,375
2007-11,Headphones,475
2007-11,Tablets,117
2007-11,Smartwatches,12
2007-12,Smartphones,645
2007-12,Laptops,390
2007-12,Headphones,524
2007-12,Tablets,117
2007-12,Smartwatches,13
2008-01,Smartphones,590
2008-01,Laptops,331
2008-01,Headphones,439
2008-01,Tablets,105
2008-01,Smartwatches,10
2008-02,Smartphones,558
2008-02,Laptops,335
2008-02,Headphones,446
2008-02,Tablets,108
2008-02,Smartwatches,8
2008-03,Smartphones,521
2008-03,Laptops,336
2008-03,Headphones,434
2008-03,Tablets,100
2008-03,Smartwatches,11
2008-04,Smartphones,535
2008-04,Laptops,326
2008-04,Headphones,436
2008-04,Tablets,108
2008-04,Smartwatches,9
2008-05,Smartphones,605
2008-05,Laptops,316
2008-05,Headphones,421
2008-05,Tablets,111
2008-05,Smartwatches,9
2008-06,Smartphones,543
2008-06,Laptops,320
2008-06,Headphones,443
2008-06,Tablets,98
2008-06,Smartwatches,9
2008-07,Smartphones,553
2008-07,Laptops,311
2008-07,Headphones,441
2008-07,Tablets,101
2008-07,Smartwatches,9
2008-08,Smartphones,570
2008-08,Laptops,361
2008-08,Headphones,433
2008-08,Tablets,111
2008-08,Smartwatches,10
2008-09,Smartphones,569
2008-09,Laptops,359
2008-09,Headphones,486
2008-09,Tablets,121
2008-09,Smartwatches,9
2008-10,Smartphones,574
2008-10,Laptops,319
2008-10,Headphones,409
2008-10,Tablets,109
2008-10,Smartwatches,10
2008-11,Smartphones,667
2008-11,Laptops,370
2008-11,Headphones,574
2008-11,Tablets,114
2008-11,Smartwatches,12
2008-12,Smartphones,688
2008-12,Laptops,348
2008-12,Headphones,527
2008-12,Tablets,102
2008-12,Smartwatches,13
2009-01,Smartphones,521
2009-01,Laptops,319
2009-01,Headphones,463
2009-01,Tablets,93
2009-01,Smartwatches,10
2009-02,Smartphones,519
2009-02,Laptops,342
2009-02,Headphones,374
2009-02,Tablets,109
2009-02,Smartwatches,10
2009-03,Smartphones,585
2009-03,Laptops,318
2009-03,Headphones,430
2009-03,Tablets,88
2009-03,Smartwatches,10
2009-04,Smartphones,595
2009-04,Laptops,352
2009-04,Headphones,452
2009-04,Tablets,98
2009-04,Smartwatches,10
2009-05,Smartphones,611
2009-05,Laptops,328
2009-05,Headphones,452
2009-05,Tablets,92
2009-05,Smartwatches,9
2009-06,Smartphones,543
2009-06,Laptops,355
2009-06,Headphones,424
2009-06,Tablets,99
2009-06,Smartwatches,9
2009-07,Smartphones,552
2009-07,Laptops,347
2009-07,Headphones,484
2009-07,Tablets,107
2009-07,Smartwatches,9
2009-08,Smartphones,523
2009-08,Laptops,350
2009-08,Headphones,457
2009-08,Tablets,125
2009-08,Smartwatches,8
2009-09,Smartphones,601
2009-09,Laptops,370
2009-09,Headphones,426
2009-09,Tablets,90
2009-09,Smartwatches,9
2009-10,Smartphones,556
2009-10,Laptops,292
2009-10,Headphones,449
2009-10,Tablets,101
2009-10,Smartwatches,9
2009-11,Smartphones,652
2009-11,Laptops,375
2009-11,Headphones,531
2009-11,Tablets,115
