CandidateID,YearsExperience,EducationLevel,SkillScore,Certifications,ShouldHire
1,4,High School,74.74,0,1
2,4,Bachelor’s,83.68,1,0
3,15,High School,70.22,0,0
4,12,Bachelor’s,65.72,4,1
5,9,Bachelor’s,49.73,0,1
6,3,High School,81.19,0,0
7,13,High School,65.53,0,1
8,1,Master’s,90.24,2,1
9,5,High School,68.84,0,1
10,6,PhD,71.99,1,1
11,4,High School,75.82,1,0
12,1,High School,78.88,2,0
13,5,Bachelor’s,78.13,2,1
14,5,Master’s,88.56,1,1
15,2,Bachelor’s,66.01,0,1
16,8,Bachelor’s,69.39,1,1
17,7,Bachelor’s,71.36,1,1
18,10,Bachelor’s,76.08,2,1
19,5,Master’s,67.26,0,1
20,2,Bachelor’s,66.4,2,0
21,2,Bachelor’s,66.04,0,0
22,0,Bachelor’s,67.11,0,0
23,1,Master’s,70.58,0,0
24,9,Bachelor’s,69.16,4,1
25,7,Bachelor’s,77.28,0,1
26,0,High School,63.81,1,0
27,8,Bachelor’s,70.09,0,1
28,0,Bachelor’s,66.34,1,0
29,5,High School,78.14,2,1
30,1,PhD,62.69,3,1
31,5,Bachelor’s,78.16,2,1
32,8,High School,74.72,0,1
33,7,Bachelor’s,60.15,0,1
34,13,Master’s,64.06,0,1
35,7,Bachelor’s,61.32,0,1
36,5,PhD,76.46,0,1
37,4,Bachelor’s,67.35,0,0
38,2,Master’s,100.0,0,1
39,5,Master’s,73.76,3,1
40,9,Bachelor’s,77.4,2,1
41,0,Bachelor’s,58.52,0,0
42,0,High School,83.9,1,1
43,1,Master’s,80.15,1,1
44,10,Master’s,100.0,0,1
45,5,Bachelor’s,71.5,0,0
46,2,High School,71.41,1,0
47,4,Bachelor’s,66.09,0,0
48,4,PhD,79.38,1,1
49,2,Bachelor’s,62.28,0,0
50,5,High School,86.61,0,1
51,9,Master’s,96.22,0,1
52,4,High School,80.32,0,0
53,5,Master’s,72.63,0,1
54,0,Bachelor’s,88.72,1,0
55,13,High School,84.41,1,1
56,8,Bachelor’s,55.64,2,1
57,7,Master’s,82.49,0,1
58,8,Bachelor’s,88.09,3,1
59,4,Bachelor’s,65.81,1,0
60,9,Master’s,73.89,0,1
61,3,Bachelor’s,75.29,0,0
62,13,High School,68.16,1,1
63,13,Bachelor’s,63.31,2,1
64,4,Master’s,86.62,0,1
